"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 28 22:45:38 GMT 2025","Sat Jun 28 22:45:41 GMT 2025","2774","","FTP End-to-End Test","","","","should upload, download, verify, and delete a file from the FTP server",""
"passed","Sat Jun 28 22:45:43 GMT 2025","Sat Jun 28 22:45:43 GMT 2025","310","","S3 End-to-End Test","","","","should upload, download, verify, and delete an object from S3",""
"passed","Sat Jun 28 22:45:45 GMT 2025","Sat Jun 28 22:45:48 GMT 2025","3355","","SFTP File Operations","","","","should upload a file, download a separate file, and delete the uploaded file",""
